id,ability,comment,evol_cost,evol_next,form_cost,form_next,generation,height_m,rate_capture,rate_female,rate_flee,rate_male,rate_spawn,skills,spawn,tier,type1,type2,weight_kg
0011,['shed-skin'],단데기,['candy_50'],['0012'],[],[],1,0.7,0.47,0.5,0.3,0.5,50,[],['land'],rare,bug,,9.9
0012,"['compound-eyes', 'tinted-lens']",버터플,[],[],[],[],1,1.1,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog']",['land'],epic,bug,flying,32.0
0012-gmax,"['compound-eyes', 'tinted-lens']",버터플,[],[],[],[],1,17.0,0.18,0.5,0.3,0.5,50,[],['land'],epic,bug,flying,1000.0
0013,"['shield-dust', 'run-away']",뿔충이,['candy_25'],['0014'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,[],['land'],common,bug,poison,3.2
0014,['shed-skin'],딱충이,['candy_50'],['0015'],[],[],1,0.6,0.47,0.5,0.3,0.5,50,[],['land'],rare,bug,poison,10.0
0015,"['swarm', 'sniper']",독침붕,[],[],[],[],1,1.0,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash']",['land'],epic,bug,poison,29.5
0015-mega,['adaptability'],독침붕,[],[],[],[],1,1.4,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash']",['land'],epic,bug,poison,40.5
0016,"['keen-eye', 'tangled-feet', 'big-pecks']",구구,['candy_35'],['0017'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],common,normal,flying,1.8
0017,"['keen-eye', 'tangled-feet', 'big-pecks']",피죤,['candy_60'],['0018'],[],[],1,1.1,0.47,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],rare,normal,flying,30.0
0018,"['keen-eye', 'tangled-feet', 'big-pecks']",피죤투,[],[],[],[],1,1.5,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],epic,normal,flying,39.5
0018-mega,['no-guard'],피죤투,[],[],[],[],1,2.2,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],epic,normal,flying,50.5
0019,"['run-away', 'guts', 'hustle']",꼬렛,['candy_35'],['0020'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash']",['land'],common,normal,,3.5
0019_alola,"['gluttony', 'hustle', 'thick-fat']",꼬렛,['candy_35'],['0020_alola'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,[],['land'],common,dark,normal,3.8
0020,"['run-away', 'guts', 'hustle']",레트라,[],[],[],[],1,0.7,0.5,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,18.5
0020_alola,"['gluttony', 'hustle', 'thick-fat']",레트라,[],[],[],[],1,0.7,0.5,0.5,0.3,0.5,50,[],['land'],rare,dark,normal,25.5
0021,"['keen-eye', 'sniper']",깨비참,['candy_40'],['0022'],[],[],1,0.3,1.0,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],common,normal,flying,2.0
0022,"['keen-eye', 'sniper']",깨비드릴조,[],[],[],[],1,1.2,0.35,0.5,0.3,0.5,50,"['move_defog', 'move_fly']",['land'],rare,normal,flying,38.0
0023,"['intimidate', 'shed-skin', 'unnerve']",아보,['candy_50'],['0024'],[],[],1,2.0,1.0,0.5,0.3,0.5,50,['move_strength'],['land'],common,poison,,6.9
0024,"['intimidate', 'shed-skin', 'unnerve']",아보크,[],[],[],[],1,3.5,0.35,0.5,0.3,0.5,50,['move_strength'],['land'],rare,poison,,65.0
0025,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-rock-star,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-belle,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-pop-star,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-phd,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-libre,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-cosplay,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0
0025-original-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-hoenn-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-sinnoh-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-unova-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-kalos-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025_alola-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-partner-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-starter,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,[],['land'],rare,electric,,6.0
0025-world-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.75,0.5,0.3,0.5,50,['move_surf'],['land'],rare,electric,,6.0
0025-gmax,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,21.0,0.75,0.5,0.3,0.5,50,[],['land'],rare,electric,,1000.0
0026,"['static', 'lightning-rod']",라이츄,[],[],[],[],1,0.8,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength']",['land'],epic,electric,,30.0
0026_alola,['surge-surfer'],라이츄,[],[],[],[],1,0.7,0.29,0.5,0.3,0.5,50,['move_surf'],['land'],epic,electric,psychic,21.0
0026-mega-x,[],라이츄,[],[],[],[],1,1.2,0.29,0.5,0.3,0.5,50,[],['land'],epic,electric,,38.0
0026-mega-y,[],라이츄,[],[],[],[],1,1.0,0.29,0.5,0.3,0.5,50,[],['land'],epic,electric,,26.0
0027,"['sand-veil', 'sand-rush']",모래두지,['candy_50'],['0028'],[],[],1,0.6,1.0,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,ground,,12.0
0027_alola,"['snow-cloak', 'slush-rush']",모래두지,['ice-stone'],['0028_alola'],[],[],1,0.7,1.0,0.5,0.3,0.5,50,[],['land'],common,ice,steel,40.0
0028,"['sand-veil', 'sand-rush']",고지,[],[],[],[],1,1.0,0.35,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,ground,,29.5
0028_alola,"['snow-cloak', 'slush-rush']",고지,[],[],[],[],1,1.2,0.35,0.5,0.3,0.5,50,[],['land'],rare,ice,steel,55.0
0029,"['poison-point', 'rivalry', 'hustle']",니드런♀,['candy_50'],['0030'],[],[],1,0.4,0.92,1.0,0.3,0.0,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,poison,,7.0
0030,"['poison-point', 'rivalry', 'hustle']",니드리나,['moon-stone'],['0031'],[],[],1,0.8,0.47,1.0,0.3,0.0,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,poison,,20.0
0031,"['poison-point', 'rivalry', 'sheer-force']",니드퀸,[],[],[],[],1,1.3,0.18,1.0,0.3,0.0,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,poison,ground,60.0
0032,"['poison-point', 'rivalry', 'hustle']",니드런♂,['candy_50'],['0033'],[],[],1,0.5,0.92,0.0,0.3,1.0,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,poison,,9.0
0033,"['poison-point', 'rivalry', 'hustle']",니드리노,['moon-stone'],['0034'],[],[],1,0.9,0.47,0.0,0.3,1.0,50,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,poison,,19.5
0034,"['poison-point', 'rivalry', 'sheer-force']",니드킹,[],[],[],[],1,1.4,0.18,0.0,0.3,1.0,50,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,poison,ground,62.0
0035,"['cute-charm', 'magic-guard', 'friend-guard']",삐삐,['moon-stone'],['0036'],[],[],1,0.6,0.59,0.75,0.3,0.25,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,fairy,,7.5
0036,"['cute-charm', 'magic-guard', 'unaware']",픽시,[],[],[],[],1,1.3,0.1,0.75,0.3,0.25,50,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],epic,fairy,,40.0
0036-mega,[],픽시,[],[],[],[],1,1.7,0.1,0.75,0.3,0.25,50,[],['land'],epic,fairy,flying,42.3
0037,"['flash-fire', 'drought']",식스테일,['fire-stone'],['0038'],[],[],1,0.6,0.75,0.75,0.3,0.25,50,[],['land'],rare,fire,,9.9
0037_alola,"['snow-cloak', 'snow-warning']",식스테일,['ice-stone'],['0038_alola'],[],[],1,0.6,0.75,0.75,0.3,0.25,50,[],['land'],rare,ice,,9.9
0038,"['flash-fire', 'drought']",나인테일,[],[],[],[],1,1.1,0.29,0.75,0.3,0.25,50,[],['land'],epic,fire,,19.9
0038_alola,"['snow-cloak', 'snow-warning']",나인테일,[],[],[],[],1,1.1,0.29,0.75,0.3,0.25,50,[],['land'],epic,ice,fairy,19.9
0039,"['cute-charm', 'competitive', 'friend-guard']",푸린,['moon-stone'],['0040'],[],[],1,0.5,0.67,0.75,0.3,0.25,50,"['move_flash', 'move_strength']",['land'],rare,normal,fairy,5.5
0040,"['cute-charm', 'competitive', 'frisk']",푸크린,[],[],[],[],1,1.0,0.2,0.75,0.3,0.25,50,"['move_flash', 'move_strength']",['land'],epic,normal,fairy,12.0
0041,"['inner-focus', 'infiltrator']",주뱃,['candy_50'],['0042'],[],[],1,0.8,1.0,0.5,0.3,0.5,50,"['move_mean-look', 'move_defog', 'move_fly']",['land'],common,poison,flying,7.5
0042,"['inner-focus', 'infiltrator']",골뱃,['friendship_220'],['0169'],[],[],1,1.6,0.35,0.5,0.3,0.5,50,"['move_mean-look', 'move_defog', 'move_fly']",['land'],rare,poison,flying,55.0
0043,"['chlorophyll', 'run-away']",뚜벅쵸,['candy_50'],['0044'],[],[],1,0.5,1.0,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],common,grass,poison,5.4
0044,"['chlorophyll', 'stench']",냄새꼬,"['leaf-stone', 'sun-stone']","['0045', '0182']",[],[],1,0.8,0.47,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],rare,grass,poison,8.6
0045,"['chlorophyll', 'effect-spore']",라플레시아,[],[],[],[],1,1.2,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],epic,grass,poison,18.6
0046,"['effect-spore', 'dry-skin', 'damp']",파라스,['candy_35'],['0047'],[],[],1,0.3,0.75,0.5,0.3,0.5,50,"['move_flash', 'move_cut', 'move_rock-smash']",['land'],common,bug,grass,5.4
0047,"['effect-spore', 'dry-skin', 'damp']",파라섹트,[],[],[],[],1,1.0,0.29,0.5,0.3,0.5,50,"['move_flash', 'move_cut', 'move_rock-smash']",['land'],rare,bug,grass,29.5
0048,"['compound-eyes', 'tinted-lens', 'run-away']",콘팡,['candy_35'],['0049'],[],[],1,1.0,0.75,0.5,0.3,0.5,50,['move_flash'],['land'],common,bug,poison,30.0
0049,"['shield-dust', 'tinted-lens', 'wonder-skin']",도나리,[],[],[],[],1,1.5,0.29,0.5,0.3,0.5,50,"['move_flash', 'move_defog']",['land'],rare,bug,poison,12.5
0050,"['sand-veil', 'arena-trap', 'sand-force']",디그다,['candy_35'],['0051'],[],[],1,0.2,1.0,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash']",['land'],common,ground,,0.8
0050_alola,"['sand-veil', 'tangling-hair', 'sand-force']",디그다,['candy_35'],['0051_alola'],[],[],1,0.2,1.0,0.5,0.3,0.5,50,[],['land'],common,ground,steel,1.0
0051,"['sand-veil', 'arena-trap', 'sand-force']",닥트리오,[],[],[],[],1,0.7,0.2,0.5,0.3,0.5,50,"['move_cut', 'move_rock-smash']",['land'],rare,ground,,33.3
0051_alola,"['sand-veil', 'tangling-hair', 'sand-force']",닥트리오,[],[],[],[],1,0.7,0.2,0.5,0.3,0.5,50,[],['land'],rare,ground,steel,66.6
0052,"['pickup', 'technician', 'unnerve']",나옹,['candy_50'],['0053'],[],[],1,0.4,1.0,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],common,normal,,4.2
0052_alola,"['pickup', 'technician', 'rattled']",나옹,['candy_50'],['0053_alola'],[],[],1,0.4,1.0,0.5,0.3,0.5,50,[],['land'],common,dark,,4.2
0052_galar,"['pickup', 'tough-claws', 'unnerve']",나옹,['candy_50'],['0863'],[],[],1,0.4,1.0,0.5,0.3,0.5,50,[],['land'],common,steel,,7.5
0052-gmax,"['pickup', 'technician', 'unnerve']",나옹,,,[],[],1,33.0,1.0,0.5,0.3,0.5,50,[],['land'],common,normal,,1000.0
0053,"['limber', 'technician', 'unnerve']",페르시온,[],[],[],[],1,1.0,0.35,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],rare,normal,,32.0
0053_alola,"['fur-coat', 'technician', 'rattled']",페르시온,[],[],[],[],1,1.1,0.35,0.5,0.3,0.5,50,[],['land'],rare,dark,,33.0
0054,"['damp', 'cloud-nine', 'swift-swim']",고라파덕,['candy_50'],['0055'],[],[],1,0.8,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],common,water,,19.6
0055,"['damp', 'cloud-nine', 'swift-swim']",골덕,[],[],[],[],1,1.7,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],rare,water,,76.6
0056,"['vital-spirit', 'anger-point', 'defiant']",망키,['candy_50'],['0057'],[],[],1,0.5,0.75,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,fighting,,28.0
0057,"['vital-spirit', 'anger-point', 'defiant']",성원숭,['move_rage-fist'],['0979'],[],[],1,1.0,0.29,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,fighting,,32.0
0058,"['intimidate', 'flash-fire', 'justified']",가디,['fire-stone'],['0059'],[],[],1,0.7,0.75,0.25,0.3,0.75,50,"['move_rock-smash', 'move_strength']",['land'],rare,fire,,19.0
0058_hisui,"['intimidate', 'flash-fire', 'rock-head']",가디,['fire-stone'],['0059_hisui'],[],[],1,0.8,0.75,0.25,0.3,0.75,50,['move_rock-smash'],['land'],rare,fire,rock,22.7
0059,"['intimidate', 'flash-fire', 'justified']",윈디,[],[],[],[],1,1.9,0.29,0.25,0.3,0.75,50,"['move_rock-smash', 'move_strength']",['land'],epic,fire,,155.0
0059_hisui,"['intimidate', 'flash-fire', 'rock-head']",윈디,[],[],[],[],1,2.0,0.29,0.25,0.3,0.75,50,['move_rock-smash'],['land'],epic,fire,rock,168.0
0060,"['water-absorb', 'damp', 'swift-swim']",발챙이,['candy_50'],['0061'],[],[],1,0.6,1.0,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['water'],common,water,,12.4
0061,"['water-absorb', 'damp', 'swift-swim']",슈륙챙이,"['water-stone', 'kings-rock']","['0062', '0186']",[],[],1,1.0,0.47,0.5,0.3,0.5,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],rare,water,,20.0
0062,"['water-absorb', 'damp', 'swift-swim']",강챙이,[],[],[],[],1,1.3,0.18,0.5,0.3,0.5,50,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],epic,water,fighting,54.0
0063,"['synchronize', 'inner-focus', 'magic-guard']",캐이시,['candy_50'],['0064'],[],[],1,0.9,0.78,0.25,0.3,0.75,50,['move_flash'],['land'],common,psychic,,19.5
0064,"['synchronize', 'inner-focus', 'magic-guard']",윤겔라,['trade'],['0065'],[],[],1,1.3,0.39,0.25,0.3,0.75,50,['move_flash'],['land'],rare,psychic,,56.5
0065,"['synchronize', 'inner-focus', 'magic-guard']",후딘,[],[],[],[],1,1.5,0.2,0.25,0.3,0.75,50,['move_flash'],['land'],epic,psychic,,48.0
0065-mega,['trace'],후딘,[],[],[],[],1,1.2,0.2,0.25,0.3,0.75,50,['move_flash'],['land'],epic,psychic,,48.0
0066,"['guts', 'no-guard', 'steadfast']",알통몬,['candy_50'],['0067'],[],[],1,0.8,0.71,0.25,0.3,0.75,50,"['move_rock-smash', 'move_strength']",['land'],common,fighting,,19.5
0067,"['guts', 'no-guard', 'steadfast']",근육몬,['trade'],['0068'],[],[],1,1.5,0.35,0.25,0.3,0.75,50,"['move_rock-smash', 'move_strength']",['land'],rare,fighting,,70.5
0068,"['guts', 'no-guard', 'steadfast']",괴력몬,[],[],[],[],1,1.6,0.18,0.25,0.3,0.75,50,"['move_rock-smash', 'move_strength']",['land'],epic,fighting,,130.0
0068-gmax,"['guts', 'no-guard', 'steadfast']",괴력몬,[],[],[],[],1,25.0,0.18,0.25,0.3,0.75,50,[],['land'],epic,fighting,,1000.0
0069,"['chlorophyll', 'gluttony']",모다피,['candy_50'],['0070'],[],[],1,0.7,1.0,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],common,grass,poison,4.0
0070,"['chlorophyll', 'gluttony']",우츠동,['leaf-stone'],['0071'],[],[],1,1.0,0.47,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],rare,grass,poison,6.4
0071,"['chlorophyll', 'gluttony']",우츠보트,[],[],[],[],1,1.7,0.18,0.5,0.3,0.5,50,"['move_flash', 'move_cut']",['land'],epic,grass,poison,15.5
0071-mega,[],우츠보트,[],[],[],[],1,4.5,0.18,0.5,0.3,0.5,50,[],['land'],epic,grass,poison,125.5
0072,"['clear-body', 'liquid-ooze', 'rain-dish']",왕눈해,['candy_50'],['0073'],[],[],1,0.9,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_waterfall', 'move_dive']",['water'],common,water,poison,45.5
0073,"['clear-body', 'liquid-ooze', 'rain-dish']",독파리,[],[],[],[],1,1.6,0.24,0.5,0.3,0.5,50,"['move_surf', 'move_cut', 'move_waterfall', 'move_dive']",['water'],rare,water,poison,55.0
0074,"['rock-head', 'sturdy', 'sand-veil']",꼬마돌,['candy_50'],['0075'],[],[],1,0.4,1.0,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],common,rock,ground,20.0
0074_alola,"['magnet-pull', 'sturdy', 'galvanize']",꼬마돌,['candy_50'],['0075_alola'],[],[],1,0.4,1.0,0.5,0.3,0.5,50,[],['land'],common,rock,electric,20.3
0075,"['rock-head', 'sturdy', 'sand-veil']",데구리,['trade'],['0076'],[],[],1,1.0,0.47,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],rare,rock,ground,105.0
0075_alola,"['magnet-pull', 'sturdy', 'galvanize']",데구리,['trade'],['0076_alola'],[],[],1,1.0,0.47,0.5,0.3,0.5,50,[],['land'],rare,rock,electric,110.0
0076,"['rock-head', 'sturdy', 'sand-veil']",딱구리,[],[],[],[],1,1.4,0.18,0.5,0.3,0.5,50,"['move_rock-smash', 'move_strength']",['land'],epic,rock,ground,300.0
0076_alola,"['magnet-pull', 'sturdy', 'galvanize']",딱구리,[],[],[],[],1,1.7,0.18,0.5,0.3,0.5,50,[],['land'],epic,rock,electric,316.0
0077,"['run-away', 'flash-fire', 'flame-body']",포니타,['candy_40'],['0078'],[],[],1,1.0,0.75,0.5,0.3,0.5,50,['move_strength'],['land'],common,fire,,30.0
0077_galar,"['run-away', 'pastel-veil', 'anticipation']",포니타,['candy_40'],['0078_galar'],[],[],1,0.8,0.75,0.5,0.3,0.5,50,[],['land'],common,psychic,,24.0
0078,"['run-away', 'flash-fire', 'flame-body']",날쌩마,[],[],[],[],1,1.7,0.24,0.5,0.3,0.5,50,['move_strength'],['land'],rare,fire,,95.0
0078_galar,"['run-away', 'pastel-veil', 'anticipation']",날쌩마,[],[],[],[],1,1.7,0.24,0.5,0.3,0.5,50,[],['land'],rare,psychic,fairy,80.0
0079,"['oblivious', 'own-tempo', 'regenerator']",야돈,"['candy_50', 'kings-rock']","['0080', '0199']",[],[],1,1.2,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],common,water,psychic,36.0
0079_galar,"['gluttony', 'own-tempo', 'regenerator']",야돈,"['galarica-cuff', 'galarica-wreath']","['0080_galar', '0199_galar']",[],[],1,1.2,0.75,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['land'],common,psychic,,36.0
0080,"['oblivious', 'own-tempo', 'regenerator']",야도란,[],[],[],[],1,1.6,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']",['water'],rare,water,psychic,78.5
0080-mega,['shell-armor'],야도란,[],[],[],[],1,2.0,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_dive']",['water'],rare,water,psychic,120.0
0080_galar,"['quick-draw', 'own-tempo', 'regenerator']",야도란,[],[],[],[],1,1.6,0.29,0.5,0.3,0.5,50,"['move_surf', 'move_waterfall', 'move_dive']",['land'],rare,poison,psychic,70.5
0081,"['magnet-pull', 'sturdy', 'analytic']",코일,['candy_50'],['0082'],[],[],1,0.3,0.75,0.0,0.3,0.0,50,['move_flash'],['land'],common,electric,steel,6.0
0082,"['magnet-pull', 'sturdy', 'analytic']",레어코일,['thunder-stone'],['0462'],[],[],1,1.0,0.24,0.0,0.3,0.0,50,['move_flash'],['land'],rare,electric,steel,60.0
0083,"['keen-eye', 'inner-focus', 'defiant']",파오리,[],['0865'],[],[],1,,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_cut', 'move_fly']",['land'],common,normal,flying,
0083_galar,"['steadfast', 'scrappy']",파오리,['leak'],['0865'],[],[],1,,0.18,0.5,0.3,0.5,50,"['move_defog', 'move_rock-smash']",['land'],common,fighting,,
0084,"['run-away', 'early-bird', 'tangled-feet']",두두,['candy_50'],['0085'],[],[],1,1.4,0.75,0.5,0.3,0.5,50,['move_fly'],['land'],common,normal,flying,39.2
0085,"['run-away', 'early-bird', 'tangled-feet']",두트리오,[],[],[],[],1,1.8,0.18,0.5,0.3,0.5,50,['move_fly'],['land'],rare,normal,flying,85.2
