id,ability,comment,evol_cost,evol_next,form_cost,form_next,generation,height_m,rate_capture,rate_female,rate_flee,rate_male,skills,spawn,tier,type1,type2,weight_kg,growth_group,base_exp
10,"['shield-dust', 'run-away']",캐터피,['candy_25'],['0011'],[],[],1,0.3,0.8,0.5,0.35,0.5,[],['land'],common,bug,,2.9,medium_fast,39
11,['shed-skin'],단데기,['candy_50'],['0012'],[],[],1,0.7,0.38,0.5,0.45,0.5,[],['land'],rare,bug,,9.9,medium_fast,72
12,"['compound-eyes', 'tinted-lens']",버터플,[],[],[],[],1,1.1,0.14,0.5,0.6,0.5,"['move_flash', 'move_defog']","['land','water']",epic,bug,flying,32.0,medium_fast,178
0012-gmax,"['compound-eyes', 'tinted-lens']",버터플,[],[],[],[],1,17.0,0.14,0.5,0.6,0.5,[],"['land','water']",epic,bug,flying,1000.0,medium_fast,178
13,"['shield-dust', 'run-away']",뿔충이,['candy_25'],['0014'],[],[],1,0.3,0.8,0.5,0.35,0.5,[],['land'],common,bug,poison,3.2,medium_fast,39
14,['shed-skin'],딱충이,['candy_50'],['0015'],[],[],1,0.6,0.38,0.5,0.45,0.5,[],['land'],rare,bug,poison,10.0,medium_fast,72
15,"['swarm', 'sniper']",독침붕,[],[],[],[],1,1.0,0.14,0.5,0.6,0.5,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash']","['land','water']",epic,bug,poison,29.5,medium_fast,178
0015-mega,['adaptability'],독침붕,[],[],[],[],1,1.4,0.14,0.5,0.6,0.5,"['move_flash', 'move_defog', 'move_cut', 'move_rock-smash']","['land','water']",epic,bug,poison,40.5,medium_fast,178
16,"['keen-eye', 'tangled-feet', 'big-pecks']",구구,['candy_35'],['0017'],[],[],1,0.3,0.8,0.5,0.35,0.5,"['move_defog', 'move_fly']",['land'],common,normal,flying,1.8,medium_slow,50
17,"['keen-eye', 'tangled-feet', 'big-pecks']",피죤,['candy_60'],['0018'],[],[],1,1.1,0.38,0.5,0.45,0.5,"['move_defog', 'move_fly']","['land','water']",rare,normal,flying,30.0,medium_slow,122
18,"['keen-eye', 'tangled-feet', 'big-pecks']",피죤투,[],[],[],[],1,1.5,0.14,0.5,0.6,0.5,"['move_defog', 'move_fly']","['land','water']",epic,normal,flying,39.5,medium_slow,216
0018-mega,['no-guard'],피죤투,[],[],[],[],1,2.2,0.14,0.5,0.6,0.5,"['move_defog', 'move_fly']","['land','water']",epic,normal,flying,50.5,medium_slow,216
19,"['run-away', 'guts', 'hustle']",꼬렛,['candy_35'],['0020'],[],[],1,0.3,0.8,0.5,0.45,0.5,"['move_cut', 'move_rock-smash']",['land'],common,normal,,3.5,medium_fast,51
0019_alola,"['gluttony', 'hustle', 'thick-fat']",꼬렛,['candy_35'],['0020_alola'],[],[],1,0.3,0.8,0.5,0.45,0.5,[],['land'],common,dark,normal,3.8,medium_fast,51
20,"['run-away', 'guts', 'hustle']",레트라,[],[],[],[],1,0.7,0.4,0.5,0.35,0.5,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,normal,,18.5,medium_fast,145
0020_alola,"['gluttony', 'hustle', 'thick-fat']",레트라,[],[],[],[],1,0.7,0.4,0.5,0.35,0.5,[],['land'],rare,dark,normal,25.5,medium_fast,145
21,"['keen-eye', 'sniper']",깨비참,['candy_40'],['0022'],[],[],1,0.3,0.8,0.5,0.35,0.5,"['move_defog', 'move_fly']",['land'],common,normal,flying,2.0,medium_fast,52
22,"['keen-eye', 'sniper']",깨비드릴조,[],[],[],[],1,1.2,0.28,0.5,0.25,0.5,"['move_defog', 'move_fly']","['land','water']",rare,normal,flying,38.0,medium_fast,155
23,"['intimidate', 'shed-skin', 'unnerve']",아보,['candy_50'],['0024'],[],[],1,2.0,0.8,0.5,0.45,0.5,['move_strength'],['land'],common,poison,,6.9,medium_fast,58
24,"['intimidate', 'shed-skin', 'unnerve']",아보크,[],[],[],[],1,3.5,0.28,0.5,0.25,0.5,['move_strength'],['land'],rare,poison,,65.0,medium_fast,157
25,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-rock-star,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-belle,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-pop-star,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-phd,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-libre,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-cosplay,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,electric,,6.0,medium_fast,112
0025-original-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-hoenn-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-sinnoh-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-unova-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-kalos-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025_alola-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-partner-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-starter,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,[],['land'],rare,electric,,6.0,medium_fast,112
0025-world-cap,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,0.4,0.55,0.5,0.45,0.5,['move_surf'],['land'],rare,electric,,6.0,medium_fast,112
0025-gmax,"['static', 'lightning-rod']",피카츄,['thunder-stone'],['0026'],[],[],1,21.0,0.55,0.5,0.45,0.5,[],['land'],rare,electric,,1000.0,medium_fast,112
26,"['static', 'lightning-rod']",라이츄,[],[],[],[],1,0.8,0.2,0.5,0.6,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength']",['land'],epic,electric,,30.0,medium_fast,218
0026_alola,['surge-surfer'],라이츄,[],[],[],[],1,0.7,0.2,0.5,0.6,0.5,['move_surf'],['land'],epic,electric,psychic,21.0,medium_fast,218
0026-mega-x,[],라이츄,[],[],[],[],1,1.2,0.2,0.5,0.6,0.5,[],['land'],epic,electric,,38.0,medium_fast,218
0026-mega-y,[],라이츄,[],[],[],[],1,1.0,0.2,0.5,0.6,0.5,[],['land'],epic,electric,,26.0,medium_fast,218
27,"['sand-veil', 'sand-rush']",모래두지,['candy_50'],['0028'],[],[],1,0.6,0.8,0.5,0.35,0.5,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,ground,,12.0,medium_fast,60
0027_alola,"['snow-cloak', 'slush-rush']",모래두지,['ice-stone'],['0028_alola'],[],[],1,0.7,0.8,0.5,0.35,0.5,[],['land'],common,ice,steel,40.0,medium_fast,60
28,"['sand-veil', 'sand-rush']",고지,[],[],[],[],1,1.0,0.28,0.5,0.25,0.5,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,ground,,29.5,medium_fast,158
0028_alola,"['snow-cloak', 'slush-rush']",고지,[],[],[],[],1,1.2,0.28,0.5,0.25,0.5,[],['land'],rare,ice,steel,55.0,medium_fast,158
29,"['poison-point', 'rivalry', 'hustle']",니드런♀,['candy_50'],['0030'],[],[],1,0.4,0.74,1.0,0.35,0.0,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,poison,,7.0,medium_slow,55
30,"['poison-point', 'rivalry', 'hustle']",니드리나,['moon-stone'],['0031'],[],[],1,0.8,0.38,1.0,0.25,0.0,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,poison,,20.0,medium_slow,128
31,"['poison-point', 'rivalry', 'sheer-force']",니드퀸,[],[],[],[],1,1.3,0.14,1.0,0.6,0.0,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,poison,ground,60.0,medium_slow,227
32,"['poison-point', 'rivalry', 'hustle']",니드런♂,['candy_50'],['0033'],[],[],1,0.5,0.74,0.0,0.35,1.0,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],common,poison,,9.0,medium_slow,55
33,"['poison-point', 'rivalry', 'hustle']",니드리노,['moon-stone'],['0034'],[],[],1,0.9,0.38,0.0,0.25,1.0,"['move_cut', 'move_rock-smash', 'move_strength']",['land'],rare,poison,,19.5,medium_slow,128
34,"['poison-point', 'rivalry', 'sheer-force']",니드킹,[],[],[],[],1,1.4,0.14,0.0,0.6,1.0,"['move_surf', 'move_cut', 'move_rock-smash', 'move_strength']",['land'],epic,poison,ground,62.0,medium_slow,227
35,"['cute-charm', 'magic-guard', 'friend-guard']",삐삐,['moon-stone'],['0036'],[],[],1,0.6,0.47,0.75,0.45,0.25,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],rare,fairy,,7.5,fast,113
36,"['cute-charm', 'magic-guard', 'unaware']",픽시,[],[],[],[],1,1.3,0.08,0.75,0.6,0.25,"['move_flash', 'move_rock-smash', 'move_strength']",['land'],epic,fairy,,40.0,fast,217
0036-mega,[],픽시,[],[],[],[],1,1.7,0.08,0.75,0.6,0.25,[],['land'],epic,fairy,flying,42.3,fast,217
37,"['flash-fire', 'drought']",식스테일,['fire-stone'],['0038'],[],[],1,0.6,0.55,0.75,0.45,0.25,[],['land'],rare,fire,,9.9,medium_fast,60
0037_alola,"['snow-cloak', 'snow-warning']",식스테일,['ice-stone'],['0038_alola'],[],[],1,0.6,0.55,0.75,0.45,0.25,[],['land'],rare,ice,,9.9,medium_fast,60
38,"['flash-fire', 'drought']",나인테일,[],[],[],[],1,1.1,0.2,0.75,0.6,0.25,[],['land'],epic,fire,,19.9,medium_fast,177
0038_alola,"['snow-cloak', 'snow-warning']",나인테일,[],[],[],[],1,1.1,0.2,0.75,0.6,0.25,[],['land'],epic,ice,fairy,19.9,medium_fast,177
39,"['cute-charm', 'competitive', 'friend-guard']",푸린,['moon-stone'],['0040'],[],[],1,0.5,0.54,0.75,0.45,0.25,"['move_flash', 'move_strength']",['land'],rare,normal,fairy,5.5,fast,95
40,"['cute-charm', 'competitive', 'frisk']",푸크린,[],[],[],[],1,1.0,0.16,0.75,0.6,0.25,"['move_flash', 'move_strength']",['land'],epic,normal,fairy,12.0,fast,196
41,"['inner-focus', 'infiltrator']",주뱃,['candy_50'],['0042'],[],[],1,0.8,0.8,0.5,0.35,0.5,"['move_mean-look', 'move_defog', 'move_fly']","['land','water']",common,poison,flying,7.5,medium_fast,49
42,"['inner-focus', 'infiltrator']",골뱃,['friendship_220'],['0169'],[],[],1,1.6,0.28,0.5,0.25,0.5,"['move_mean-look', 'move_defog', 'move_fly']","['land','water']",rare,poison,flying,55.0,medium_fast,159
43,"['chlorophyll', 'run-away']",뚜벅쵸,['candy_50'],['0044'],[],[],1,0.5,0.8,0.5,0.35,0.5,"['move_flash', 'move_cut']",['land'],common,grass,poison,5.4,medium_slow,64
44,"['chlorophyll', 'stench']",냄새꼬,"['leaf-stone', 'sun-stone']","['0045', '0182']",[],[],1,0.8,0.38,0.5,0.25,0.5,"['move_flash', 'move_cut']",['land'],rare,grass,poison,8.6,medium_slow,138
45,"['chlorophyll', 'effect-spore']",라플레시아,[],[],[],[],1,1.2,0.14,0.5,0.6,0.5,"['move_flash', 'move_cut']",['land'],epic,grass,poison,18.6,medium_slow,221
46,"['effect-spore', 'dry-skin', 'damp']",파라스,['candy_35'],['0047'],[],[],1,0.3,0.6,0.5,0.45,0.5,"['move_flash', 'move_cut', 'move_rock-smash']",['land'],common,bug,grass,5.4,medium_fast,57
47,"['effect-spore', 'dry-skin', 'damp']",파라섹트,[],[],[],[],1,1.0,0.23,0.5,0.35,0.5,"['move_flash', 'move_cut', 'move_rock-smash']",['land'],rare,bug,grass,29.5,medium_fast,142
48,"['compound-eyes', 'tinted-lens', 'run-away']",콘팡,['candy_35'],['0049'],[],[],1,1.0,0.6,0.5,0.35,0.5,['move_flash'],['land'],common,bug,poison,30.0,medium_fast,61
49,"['shield-dust', 'tinted-lens', 'wonder-skin']",도나리,[],[],[],[],1,1.5,0.23,0.5,0.45,0.5,"['move_flash', 'move_defog']",['land'],rare,bug,poison,12.5,medium_fast,158
50,"['sand-veil', 'arena-trap', 'sand-force']",디그다,['candy_35'],['0051'],[],[],1,0.2,0.8,0.5,0.45,0.5,"['move_cut', 'move_rock-smash']",['land'],common,ground,,0.8,medium_fast,53
0050_alola,"['sand-veil', 'tangling-hair', 'sand-force']",디그다,['candy_35'],['0051_alola'],[],[],1,0.2,0.8,0.5,0.45,0.5,[],['land'],common,ground,steel,1.0,medium_fast,53
51,"['sand-veil', 'arena-trap', 'sand-force']",닥트리오,[],[],[],[],1,0.7,0.16,0.5,0.45,0.5,"['move_cut', 'move_rock-smash']",['land'],rare,ground,,33.3,medium_fast,149
0051_alola,"['sand-veil', 'tangling-hair', 'sand-force']",닥트리오,[],[],[],[],1,0.7,0.16,0.5,0.45,0.5,[],['land'],rare,ground,steel,66.6,medium_fast,149
52,"['pickup', 'technician', 'unnerve']",나옹,['candy_50'],['0053'],[],[],1,0.4,0.8,0.5,0.35,0.5,"['move_flash', 'move_cut']",['land'],common,normal,,4.2,medium_fast,58
0052_alola,"['pickup', 'technician', 'rattled']",나옹,['candy_50'],['0053_alola'],[],[],1,0.4,0.8,0.5,0.35,0.5,[],['land'],common,dark,,4.2,medium_fast,58
0052_galar,"['pickup', 'tough-claws', 'unnerve']",나옹,['candy_50'],['0863'],[],[],1,0.4,0.8,0.5,0.35,0.5,[],['land'],common,steel,,7.5,medium_fast,58
0052-gmax,"['pickup', 'technician', 'unnerve']",나옹,,,[],[],1,33.0,0.8,0.5,0.35,0.5,[],['land'],common,normal,,1000.0,medium_fast,58
53,"['limber', 'technician', 'unnerve']",페르시온,[],[],[],[],1,1.0,0.28,0.5,0.45,0.5,"['move_flash', 'move_cut']",['land'],rare,normal,,32.0,medium_fast,154
0053_alola,"['fur-coat', 'technician', 'rattled']",페르시온,[],[],[],[],1,1.1,0.28,0.5,0.45,0.5,[],['land'],rare,dark,,33.0,medium_fast,154
54,"['damp', 'cloud-nine', 'swift-swim']",고라파덕,['candy_50'],['0055'],[],[],1,0.8,0.6,0.5,0.35,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",common,water,,19.6,medium_fast,64
55,"['damp', 'cloud-nine', 'swift-swim']",골덕,[],[],[],[],1,1.7,0.23,0.5,0.25,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",rare,water,,76.6,medium_fast,175
56,"['vital-spirit', 'anger-point', 'defiant']",망키,['candy_50'],['0057'],[],[],1,0.5,0.6,0.5,0.35,0.5,"['move_rock-smash', 'move_strength']",['land'],common,fighting,,28.0,medium_fast,61
57,"['vital-spirit', 'anger-point', 'defiant']",성원숭,['move_rage-fist'],['0979'],[],[],1,1.0,0.23,0.5,0.45,0.5,"['move_rock-smash', 'move_strength']",['land'],rare,fighting,,32.0,medium_fast,159
58,"['intimidate', 'flash-fire', 'justified']",가디,['fire-stone'],['0059'],[],[],1,0.7,0.55,0.25,0.45,0.75,"['move_rock-smash', 'move_strength']",['land'],rare,fire,,19.0,slow,70
0058_hisui,"['intimidate', 'flash-fire', 'rock-head']",가디,['fire-stone'],['0059_hisui'],[],[],1,0.8,0.55,0.25,0.45,0.75,['move_rock-smash'],['land'],rare,fire,rock,22.7,slow,70
59,"['intimidate', 'flash-fire', 'justified']",윈디,[],[],[],[],1,1.9,0.2,0.25,0.6,0.75,"['move_rock-smash', 'move_strength']",['land'],epic,fire,,155.0,slow,194
0059_hisui,"['intimidate', 'flash-fire', 'rock-head']",윈디,[],[],[],[],1,2.0,0.2,0.25,0.6,0.75,['move_rock-smash'],['land'],epic,fire,rock,168.0,slow,194
60,"['water-absorb', 'damp', 'swift-swim']",발챙이,['candy_50'],['0061'],[],[],1,0.6,0.8,0.5,0.35,0.5,"['move_surf', 'move_waterfall', 'move_dive']","['land','water']",common,water,,12.4,medium_slow,60
61,"['water-absorb', 'damp', 'swift-swim']",슈륙챙이,"['water-stone', 'kings-rock']","['0062', '0186']",[],[],1,1.0,0.38,0.5,0.25,0.5,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",rare,water,,20.0,medium_slow,135
62,"['water-absorb', 'damp', 'swift-swim']",강챙이,[],[],[],[],1,1.3,0.14,0.5,0.6,0.5,"['move_surf', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",epic,water,fighting,54.0,medium_slow,230
63,"['synchronize', 'inner-focus', 'magic-guard']",캐이시,['candy_50'],['0064'],[],[],1,0.9,0.62,0.25,0.45,0.75,['move_flash'],['land'],common,psychic,,19.5,medium_slow,62
64,"['synchronize', 'inner-focus', 'magic-guard']",윤겔라,['trade'],['0065'],[],[],1,1.3,0.31,0.25,0.45,0.75,['move_flash'],['land'],rare,psychic,,56.5,medium_slow,140
65,"['synchronize', 'inner-focus', 'magic-guard']",후딘,[],[],[],[],1,1.5,0.16,0.25,0.6,0.75,['move_flash'],['land'],epic,psychic,,48.0,medium_slow,225
0065-mega,['trace'],후딘,[],[],[],[],1,1.2,0.16,0.25,0.6,0.75,['move_flash'],['land'],epic,psychic,,48.0,medium_slow,225
66,"['guts', 'no-guard', 'steadfast']",알통몬,['candy_50'],['0067'],[],[],1,0.8,0.57,0.25,0.35,0.75,"['move_rock-smash', 'move_strength']",['land'],common,fighting,,19.5,medium_slow,61
67,"['guts', 'no-guard', 'steadfast']",근육몬,['trade'],['0068'],[],[],1,1.5,0.28,0.25,0.25,0.75,"['move_rock-smash', 'move_strength']",['land'],rare,fighting,,70.5,medium_slow,142
68,"['guts', 'no-guard', 'steadfast']",괴력몬,[],[],[],[],1,1.6,0.14,0.25,0.6,0.75,"['move_rock-smash', 'move_strength']",['land'],epic,fighting,,130.0,medium_slow,227
0068-gmax,"['guts', 'no-guard', 'steadfast']",괴력몬,[],[],[],[],1,25.0,0.14,0.25,0.6,0.75,[],['land'],epic,fighting,,1000.0,medium_slow,227
69,"['chlorophyll', 'gluttony']",모다피,['candy_50'],['0070'],[],[],1,0.7,0.8,0.5,0.35,0.5,"['move_flash', 'move_cut']",['land'],common,grass,poison,4.0,medium_slow,60
70,"['chlorophyll', 'gluttony']",우츠동,['leaf-stone'],['0071'],[],[],1,1.0,0.38,0.5,0.25,0.5,"['move_flash', 'move_cut']",['land'],rare,grass,poison,6.4,medium_slow,137
71,"['chlorophyll', 'gluttony']",우츠보트,[],[],[],[],1,1.7,0.14,0.5,0.6,0.5,"['move_flash', 'move_cut']",['land'],epic,grass,poison,15.5,medium_slow,221
0071-mega,[],우츠보트,[],[],[],[],1,4.5,0.14,0.5,0.6,0.5,[],['land'],epic,grass,poison,125.5,medium_slow,221
72,"['clear-body', 'liquid-ooze', 'rain-dish']",왕눈해,['candy_50'],['0073'],[],[],1,0.9,0.6,0.5,0.35,0.5,"['move_surf', 'move_cut', 'move_waterfall', 'move_dive']",['water'],common,water,poison,45.5,slow,67
73,"['clear-body', 'liquid-ooze', 'rain-dish']",독파리,[],[],[],[],1,1.6,0.19,0.5,0.45,0.5,"['move_surf', 'move_cut', 'move_waterfall', 'move_dive']",['water'],rare,water,poison,55.0,slow,180
74,"['rock-head', 'sturdy', 'sand-veil']",꼬마돌,['candy_50'],['0075'],[],[],1,0.4,0.8,0.5,0.35,0.5,"['move_rock-smash', 'move_strength']",['land'],common,rock,ground,20.0,medium_slow,60
0074_alola,"['magnet-pull', 'sturdy', 'galvanize']",꼬마돌,['candy_50'],['0075_alola'],[],[],1,0.4,0.8,0.5,0.35,0.5,[],['land'],common,rock,electric,20.3,medium_slow,60
75,"['rock-head', 'sturdy', 'sand-veil']",데구리,['trade'],['0076'],[],[],1,1.0,0.38,0.5,0.25,0.5,"['move_rock-smash', 'move_strength']",['land'],rare,rock,ground,105.0,medium_slow,137
0075_alola,"['magnet-pull', 'sturdy', 'galvanize']",데구리,['trade'],['0076_alola'],[],[],1,1.0,0.38,0.5,0.25,0.5,[],['land'],rare,rock,electric,110.0,medium_slow,137
76,"['rock-head', 'sturdy', 'sand-veil']",딱구리,[],[],[],[],1,1.4,0.14,0.5,0.6,0.5,"['move_rock-smash', 'move_strength']",['land'],epic,rock,ground,300.0,medium_slow,223
0076_alola,"['magnet-pull', 'sturdy', 'galvanize']",딱구리,[],[],[],[],1,1.7,0.14,0.5,0.6,0.5,[],['land'],epic,rock,electric,316.0,medium_slow,223
77,"['run-away', 'flash-fire', 'flame-body']",포니타,['candy_40'],['0078'],[],[],1,1.0,0.6,0.5,0.45,0.5,['move_strength'],['land'],common,fire,,30.0,medium_fast,82
0077_galar,"['run-away', 'pastel-veil', 'anticipation']",포니타,['candy_40'],['0078_galar'],[],[],1,0.8,0.6,0.5,0.45,0.5,[],['land'],common,psychic,,24.0,medium_fast,82
78,"['run-away', 'flash-fire', 'flame-body']",날쌩마,[],[],[],[],1,1.7,0.19,0.5,0.45,0.5,['move_strength'],['land'],rare,fire,,95.0,medium_fast,175
0078_galar,"['run-away', 'pastel-veil', 'anticipation']",날쌩마,[],[],[],[],1,1.7,0.19,0.5,0.45,0.5,[],['land'],rare,psychic,fairy,80.0,medium_fast,175
79,"['oblivious', 'own-tempo', 'regenerator']",야돈,"['candy_50', 'kings-rock']","['0080', '0199']",[],[],1,1.2,0.6,0.5,0.25,0.5,"['move_surf', 'move_flash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",common,water,psychic,36.0,medium_fast,63
0079_galar,"['gluttony', 'own-tempo', 'regenerator']",야돈,"['galarica-cuff', 'galarica-wreath']","['0080_galar', '0199_galar']",[],[],1,1.2,0.6,0.5,0.25,0.5,"['move_surf', 'move_waterfall', 'move_dive']","['land','water']",common,psychic,,36.0,medium_fast,63
80,"['oblivious', 'own-tempo', 'regenerator']",야도란,[],[],[],[],1,1.6,0.23,0.5,0.25,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_waterfall', 'move_dive']","['land','water']",rare,water,psychic,78.5,medium_fast,172
0080-mega,['shell-armor'],야도란,[],[],[],[],1,2.0,0.23,0.5,0.25,0.5,"['move_surf', 'move_flash', 'move_rock-smash', 'move_strength', 'move_dive']","['land','water']",rare,water,psychic,120.0,medium_fast,172
